,Actual,Prediction,Accuracy,ModelName,GridSearchParameters,GridSearchBestParameters,RunDate,RunTime
25,1,1,0,RandomForestClassifier,"{'n_estimators': [1, 2, 3, 4, 5, 6, 7, 8, 9], 'max_depth': [1, 2, 3, 4, 5, 6, 7, 8, 9]}","{'max_depth': 6, 'n_estimators': 7}",2022-05-02,03:35:32
26,0,1,0,RandomForestClassifier,"{'n_estimators': [1, 2, 3, 4, 5, 6, 7, 8, 9], 'max_depth': [1, 2, 3, 4, 5, 6, 7, 8, 9]}","{'max_depth': 6, 'n_estimators': 7}",2022-05-02,03:35:32
27,1,1,0,RandomForestClassifier,"{'n_estimators': [1, 2, 3, 4, 5, 6, 7, 8, 9], 'max_depth': [1, 2, 3, 4, 5, 6, 7, 8, 9]}","{'max_depth': 6, 'n_estimators': 7}",2022-05-02,03:35:32
28,0,0,0,RandomForestClassifier,"{'n_estimators': [1, 2, 3, 4, 5, 6, 7, 8, 9], 'max_depth': [1, 2, 3, 4, 5, 6, 7, 8, 9]}","{'max_depth': 6, 'n_estimators': 7}",2022-05-02,03:35:32
29,0,0,0,RandomForestClassifier,"{'n_estimators': [1, 2, 3, 4, 5, 6, 7, 8, 9], 'max_depth': [1, 2, 3, 4, 5, 6, 7, 8, 9]}","{'max_depth': 6, 'n_estimators': 7}",2022-05-02,03:35:32
30,0,0,0,RandomForestClassifier,"{'n_estimators': [1, 2, 3, 4, 5, 6, 7, 8, 9], 'max_depth': [1, 2, 3, 4, 5, 6, 7, 8, 9]}","{'max_depth': 6, 'n_estimators': 7}",2022-05-02,03:35:32
31,0,0,0,RandomForestClassifier,"{'n_estimators': [1, 2, 3, 4, 5, 6, 7, 8, 9], 'max_depth': [1, 2, 3, 4, 5, 6, 7, 8, 9]}","{'max_depth': 6, 'n_estimators': 7}",2022-05-02,03:35:32
32,1,1,0,RandomForestClassifier,"{'n_estimators': [1, 2, 3, 4, 5, 6, 7, 8, 9], 'max_depth': [1, 2, 3, 4, 5, 6, 7, 8, 9]}","{'max_depth': 6, 'n_estimators': 7}",2022-05-02,03:35:32
33,0,0,0,RandomForestClassifier,"{'n_estimators': [1, 2, 3, 4, 5, 6, 7, 8, 9], 'max_depth': [1, 2, 3, 4, 5, 6, 7, 8, 9]}","{'max_depth': 6, 'n_estimators': 7}",2022-05-02,03:35:32
34,1,0,0,RandomForestClassifier,"{'n_estimators': [1, 2, 3, 4, 5, 6, 7, 8, 9], 'max_depth': [1, 2, 3, 4, 5, 6, 7, 8, 9]}","{'max_depth': 6, 'n_estimators': 7}",2022-05-02,03:35:32
35,0,0,0,RandomForestClassifier,"{'n_estimators': [1, 2, 3, 4, 5, 6, 7, 8, 9], 'max_depth': [1, 2, 3, 4, 5, 6, 7, 8, 9]}","{'max_depth': 6, 'n_estimators': 7}",2022-05-02,03:35:32
36,0,0,0,RandomForestClassifier,"{'n_estimators': [1, 2, 3, 4, 5, 6, 7, 8, 9], 'max_depth': [1, 2, 3, 4, 5, 6, 7, 8, 9]}","{'max_depth': 6, 'n_estimators': 7}",2022-05-02,03:35:32
37,0,0,0,RandomForestClassifier,"{'n_estimators': [1, 2, 3, 4, 5, 6, 7, 8, 9], 'max_depth': [1, 2, 3, 4, 5, 6, 7, 8, 9]}","{'max_depth': 6, 'n_estimators': 7}",2022-05-02,03:35:32
